codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
30065,SMIRNOFF WATERMELON 6X700,Diageo,Standard (S),Smirnoff,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30131,SMIRNOFF TROPICAL FRUITS 6X700 (30131),Diageo,Standard (S),Smirnoff,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30135,SMIRNOFF TAMARINDO 6X700 (30135),Diageo,Standard (S),Smirnoff Flavors,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30023,WHITE HORSE DO 12X750,Diageo,Standard (S),White Horse,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30075,GORDON´S GIN 6x700,Diageo,Standard (S),Gordon´s,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30139,GORDON'S TROPICAL FRUITS 6x700,Diageo,Standard (S),Gordon's Flavors,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30134,GORDON´S PINK GIN 6x700 (30134),Diageo,Standard (S),Gordon's Flavors,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30012,BAILEYS NUEVA BOTELLA 12x750,Diageo,Premium (S),Baileys,Licores,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30129,BAILEYS SALTED CARAMEL 12X750,Diageo,Premium (S),Baileys Flavours,Licores,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30003,JW BLACK LABEL 12x750,Diageo,Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30004,JW BLACK LABEL 12x1000,Diageo,Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30005,JW DOUBLE BLACK NRC 6X750,Diageo,Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30016,KETEL ONE 12X750,Diageo,Premium (S),Ketel One,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30130,TANQUERAY DRY GIN 6X700,Diageo,Premium (S),Tanqueray,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30140,TANQUERAY BOSSA NOVA 6X700 (30140),Diageo,Premium (S),Tanqueray Flavours,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30128,TANQUERAY SEVILLA 6X700,Diageo,Premium (S),TANQUERAY FLAVORS,Gin,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30018,ZACAPA CENTENARIO 23 6x750,Diageo,Premium (S),Zacapa Centenario 23,Ron,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30048,OLD PARR 12YO 12X750,Diageo,Premium (S),Old Parr,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30076,BUCHANAN'S DELUXE 12X750,Diageo,Premium (S),Buchanan's,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30077,SHERIDAN'S 6X750,Diageo,Premium (S),Sheridan¨s,Licores,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30138,JW GOLD RESERVE 6x750,Diageo,Super Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30066,J. WALKER 18 6X750,Diageo,Super Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30029,J. WALKER GREEN 6x750 UK,Diageo,Super Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30009,J. WALKER BLUE LABEL 6x750 UK,Diageo,Super Premium (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30054,ZACAPA CENT XO 6X750,Diageo,Super Premium (S),Zacapa Centenario 23,Ron,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30031,MALT CARDHU 12YO 6X700,Diageo,Super Premium (S),Cardhu,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30087,SINGLETON 12 YO 6X700,Diageo,Super Premium (S),Singleton,Whisky (Maltas),Categoria no es 'Vinos del año'; validar contra Tags Gescom
